Edad,Sexo,Valor,Tipo
75 años,Mujeres,15728,espana_rural
76 años,Mujeres,14880,espana_rural
77 años,Mujeres,15354,espana_rural
78 años,Mujeres,13641,espana_rural
79 años,Mujeres,12932,espana_rural
80 años,Mujeres,15727,espana_rural
81 años,Mujeres,10049,espana_rural
82 años,Mujeres,11402,espana_rural
83 años,Mujeres,13370,espana_rural
84 años,Mujeres,15215,espana_rural
85 años,Mujeres,14003,espana_rural
86 años,Mujeres,13402,espana_rural
87 años,Mujeres,13097,espana_rural
88 años,Mujeres,11875,espana_rural
89 años,Mujeres,10364,espana_rural
90 años,Mujeres,9424,espana_rural
91 años,Mujeres,7837,espana_rural
92 años,Mujeres,6690,espana_rural
93 años,Mujeres,4936,espana_rural
94 años,Mujeres,4359,espana_rural
95 años,Mujeres,3216,espana_rural
96 años,Mujeres,2398,espana_rural
97 años,Mujeres,1829,espana_rural
98 años,Mujeres,1299,espana_rural
99 años,Mujeres,903,espana_rural
100 y más años,Mujeres,1653,espana_rural
0 años,Mujeres,151194,espana_urbana
1 año,Mujeres,167205,espana_urbana
2 años,Mujeres,175547,espana_urbana
3 años,Mujeres,188085,espana_urbana
4 años,Mujeres,199275,espana_urbana
5 años,Mujeres,204627,espana_urbana
6 años,Mujeres,207579,espana_urbana
7 años,Mujeres,206297,espana_urbana
8 años,Mujeres,218052,espana_urbana
9 años,Mujeres,223734,espana_urbana
10 años,Mujeres,229412,espana_urbana
11 años,Mujeres,232778,espana_urbana
12 años,Mujeres,243825,espana_urbana
13 años,Mujeres,235350,espana_urbana
14 años,Mujeres,234635,espana_urbana
15 años,Mujeres,230588,espana_urbana
16 años,Mujeres,227872,espana_urbana
17 años,Mujeres,225104,espana_urbana
18 años,Mujeres,218342,espana_urbana
19 años,Mujeres,220083,espana_urbana
20 años,Mujeres,222533,espana_urbana
21 años,Mujeres,221016,espana_urbana
22 años,Mujeres,216065,espana_urbana
23 años,Mujeres,223074,espana_urbana
24 años,Mujeres,223794,espana_urbana
25 años,Mujeres,226714,espana_urbana
26 años,Mujeres,231985,espana_urbana
27 años,Mujeres,241276,espana_urbana
28 años,Mujeres,249588,espana_urbana
29 años,Mujeres,248699,espana_urbana
30 años,Mujeres,254206,espana_urbana
31 años,Mujeres,259724,espana_urbana
32 años,Mujeres,265495,espana_urbana
33 años,Mujeres,269594,espana_urbana
34 años,Mujeres,277538,espana_urbana
35 años,Mujeres,286839,espana_urbana
36 años,Mujeres,297739,espana_urbana
37 años,Mujeres,307435,espana_urbana
38 años,Mujeres,324265,espana_urbana
39 años,Mujeres,336881,espana_urbana
40 años,Mujeres,352460,espana_urbana
41 años,Mujeres,362343,espana_urbana
42 años,Mujeres,376388,espana_urbana
43 años,Mujeres,379446,espana_urbana
44 años,Mujeres,386534,espana_urbana
45 años,Mujeres,382037,espana_urbana
46 años,Mujeres,380278,espana_urbana
47 años,Mujeres,369348,espana_urbana
48 años,Mujeres,368155,espana_urbana
49 años,Mujeres,361695,espana_urbana
50 años,Mujeres,356693,espana_urbana
51 años,Mujeres,352909,espana_urbana
52 años,Mujeres,350207,espana_urbana
53 años,Mujeres,352843,espana_urbana
54 años,Mujeres,342946,espana_urbana
55 años,Mujeres,341145,espana_urbana
56 años,Mujeres,344864,espana_urbana
57 años,Mujeres,327356,espana_urbana
58 años,Mujeres,316825,espana_urbana
59 años,Mujeres,308595,espana_urbana
60 años,Mujeres,309564,espana_urbana
61 años,Mujeres,300882,espana_urbana
62 años,Mujeres,293882,espana_urbana
63 años,Mujeres,286856,espana_urbana
64 años,Mujeres,267053,espana_urbana
65 años,Mujeres,259215,espana_urbana
66 años,Mujeres,247119,espana_urbana
67 años,Mujeres,245989,espana_urbana
68 años,Mujeres,242761,espana_urbana
69 años,Mujeres,227569,espana_urbana
70 años,Mujeres,220935,espana_urbana
71 años,Mujeres,228995,espana_urbana
72 años,Mujeres,237518,espana_urbana
73 años,Mujeres,215419,espana_urbana
74 años,Mujeres,204923,espana_urbana
75 años,Mujeres,211484,espana_urbana
76 años,Mujeres,198526,espana_urbana
77 años,Mujeres,192585,espana_urbana
